,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
permanently,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
reasoned,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
strolling,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
irresolute,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
lawyer,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
trick,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
lessons,0.0013663914896809254,0.0006532819568723684,-0.001009836723276647,-0.001009836723276647
apartments,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
requested,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
watchfulness,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
directing,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
defence,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
plead,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
fastidious,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
loves,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
abused,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
contradict,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
creditable,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
dated,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
compatible,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
sanguine,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
anticipating,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
mildness,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
reluctant,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
yielded,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
exceed,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
discredit,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
pitiful,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
praised,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
derive,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
boasted,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
mirth,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
sensibly,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
gaiety,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
apothecary,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
disposal,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
renewing,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
oppressed,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
landlord,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
market,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
wretchedness,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
assisting,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
brilliancy,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
warmest,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
collecting,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
substantial,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
hereabouts,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
rated,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
collect,0.001374971876388918,-0.0010012563365686543,0.000627540796748391,-0.0010012563365686543
oval,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
department,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
westward,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
clicking,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
ned,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
rag,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
temperature,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
rotten,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
carrion,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
rippling,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
spears,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
swine,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
zoologist,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
twinkling,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
labor,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
fairyland,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
climber,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
negatives,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
dragon,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
favorite,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
organ,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
elephants,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
amazonian,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
snarl,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
stems,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
outwards,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
cranial,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
rosario,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
faster,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
sonny,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
steam,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
herd,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
classification,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
sweep,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
rocky,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
ages,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
paw,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
horrors,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
developed,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
tube,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
hind,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
downwards,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
centered,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
packages,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
necks,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
overhanging,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
eighteen,-0.0009733433695849665,-0.0009733433695849665,-0.0009733433695849665,0.0029200301087548993
