,Austen_Persuasion,Doyle_TheHound,Austen_Pride,Doyle_TheLostWorld
ability,0.0,0.0033262373602980307,0.0,0.0
able,0.03564342319436359,0.04490420436402341,0.043977522599560226,0.037635943623952034
ablution,0.0,0.0,0.0008143985666585227,0.0
abnormalities,0.0,0.0,0.0,0.0012977911594466219
aboard,0.0,0.0,0.0,0.0012977911594466219
abode,0.0011881141064787862,0.004989356040447046,0.006515188533268181,0.0
abominable,0.0011881141064787862,0.0,0.004886391399951136,0.0
abominably,0.0,0.0,0.0032575942666340906,0.0012977911594466219
abominate,0.0011881141064787862,0.0,0.0016287971333170453,0.0
abominates,0.0011881141064787862,0.0,0.0,0.0
abortive,0.0,0.0016631186801490153,0.0,0.0
abound,0.0,0.0,0.0008143985666585227,0.0
about,0.11524706832844225,0.17462746141564664,0.09935662513233977,0.12069457782853583
above,0.007128684638872718,0.013304949441192123,0.017102369899828978,0.08954759000181692
abreast,0.0,0.0016631186801490153,0.0,0.0012977911594466219
abroad,0.005940570532393931,0.0,0.0032575942666340906,0.003893373478339866
abrupt,0.0,0.0,0.0008143985666585227,0.0
abruptly,0.0,0.0,0.0016287971333170453,0.0012977911594466219
abruptness,0.0,0.0,0.0016287971333170453,0.0
absence,0.010693026958309076,0.006652474720596061,0.021988761299780113,0.0025955823188932438
absent,0.004752456425915145,0.011641830761043108,0.0032575942666340906,0.0025955823188932438
absenting,0.0011881141064787862,0.0,0.0,0.0
absolute,0.003564342319436359,0.0016631186801490153,0.0032575942666340906,0.011680120435019597
absolutely,0.005940570532393931,0.0033262373602980307,0.014659174199853407,0.016871285072806084
absorb,0.0,0.0,0.0,0.0012977911594466219
absorbed,0.0,0.0033262373602980307,0.0,0.0051911646377864875
absorbing,0.0,0.0016631186801490153,0.0,0.0
abstracted,0.0,0.0016631186801490153,0.0,0.0
abstraction,0.0011881141064787862,0.0,0.0,0.0
absurd,0.007128684638872718,0.0033262373602980307,0.004071992833292614,0.011680120435019597
absurdities,0.0,0.0,0.0016287971333170453,0.0
absurdity,0.0011881141064787862,0.0,0.0008143985666585227,0.0
absurdly,0.0,0.0,0.0,0.0012977911594466219
abundance,0.0011881141064787862,0.0,0.0,0.0012977911594466219
abundant,0.0,0.0,0.0008143985666585227,0.0012977911594466219
abundantly,0.0,0.0,0.002443195699975568,0.0
abuse,0.0011881141064787862,0.0,0.0016287971333170453,0.0012977911594466219
abused,0.0023762282129575723,0.0,0.0016287971333170453,0.0
abusing,0.0,0.0016631186801490153,0.002443195699975568,0.0012977911594466219
abusive,0.0,0.0,0.0016287971333170453,0.0012977911594466219
abydos,0.0011881141064787862,0.0,0.0,0.0
abyss,0.0,0.0,0.0,0.00648895579723311
academy,0.0,0.0,0.0,0.0025955823188932438
accala,0.0,0.0,0.0,0.0025955823188932438
accede,0.0,0.0,0.0008143985666585227,0.0
acceded,0.0,0.0,0.0008143985666585227,0.0
acceding,0.0,0.0,0.0008143985666585227,0.0
accent,0.0011881141064787862,0.0033262373602980307,0.0032575942666340906,0.0012977911594466219
accents,0.0,0.0,0.0016287971333170453,0.0
accentuated,0.0,0.0,0.0,0.0012977911594466219
accept,0.007128684638872718,0.008315593400745077,0.013844775633194886,0.003893373478339866
